mean,var,temp
9.802447,0.000138,33.46206
9.799704,0.000353,33.46412
9.799112,0.000284,33.46382
9.802573,0.000368,33.47941
9.806472,0.000155,33.48853
9.800019,0.000197,33.49235
9.796577,0.000227,33.49765
9.808772,0.000321,33.50617
9.801218,0.000151,33.52264
9.80591,0.000323,33.51941
9.798014,0.000268,33.53471
9.802047,0.000171,33.54147
9.799186,0.000157,33.54559
9.806388,8.4e-05,33.56088
9.803244,0.000451,33.56205
9.798192,0.000172,33.56617
9.796565,0.000262,33.57676
9.811739,0.000374,33.59118
9.793818,0.000199,33.59147
9.802361,0.000128,33.59265
9.800742,0.000137,33.59177
9.801432,0.000231,33.6
9.803415,0.000138,33.61294
9.795855,8.9e-05,33.62029
9.796889,0.000125,33.62677
9.798594,0.000143,33.62265
9.799781,0.000704,33.6153
9.801256,0.00025,33.62559
9.807162,0.000105,33.63735
9.804201,0.000258,33.64353
9.804262,0.00018,33.64735
9.798975,0.000272,33.6553
9.802636,0.00028,33.65706
9.788959,0.000157,33.65824
9.805997,0.000174,33.66471
9.797289,0.000268,33.66
9.798905,0.000332,33.66824
9.796919,0.000146,33.6753
9.798676,0.000587,33.665
9.794023,0.000265,33.68853
9.812609,0.000148,33.68118
9.805532,0.000163,33.68324
9.805182,0.000301,33.69059
9.800161,0.000137,33.68882
9.801758,0.000142,33.69441
9.811813,0.000221,33.69883
9.801579,0.000149,33.71912
9.802553,0.000292,33.72706
9.800831,0.000136,33.71853
9.801974,0.000135,33.73029
9.801048,0.000127,33.725
9.796234,0.000225,33.74147
9.794309,0.000223,33.74441
9.800444,0.000648,33.75441
9.801932,0.000272,33.74676
9.795884,0.000167,33.75588
9.802405,0.000174,33.74824
9.79117,0.000192,33.75912
9.796959,6.8e-05,33.76559
9.795039,0.000275,33.77117
9.792974,0.000152,33.77441
9.796893,0.000122,33.7803
9.794944,0.000283,33.76853
9.795233,0.000314,33.77
9.78816,0.000198,33.77294
